preds_list2[[1]]$genes	1	prob_lda	prob_svm	prob_logit	pred_lda	pred_svm	pred_logit
LOC_Os01g55900	0	0.995100041	0.352319154	0.020356415	0	0	1
LOC_Os03g02410	0	0.681993345	0.299737293	0.014751307	0	0	1
LOC_Os04g38640	0	0.90438693	0.203612227	3.38E-11	0	0	1
LOC_Os06g27560	0	0.969941485	0.066236486	0.000541182	0	1	1
LOC_Os02g54730	0	0.10717065	0.77359688	0.422806644	0	0	0
LOC_Os03g55200	0	0.975527307	0.085935867	0.062760576	0	1	1
LOC_Os03g22830	0	0.984430256	0.481327627	0.077013127	0	0	1
LOC_Os11g01610	0	0.892869962	0.397176791	0.067921137	0	0	1
LOC_Os02g37090	0	0.99169603	0.183401279	0.010693048	0	0	1
LOC_Os11g11060	0	0.393616251	0.563913856	0.855516586	0	0	0
LOC_Os08g41440	0	0.001891934	0.924498027	0.974468601	1	0	0
LOC_Os01g55780	0	0.647281458	0.688342219	0.780039833	0	0	0
LOC_Os10g41340	0	0.541109071	0.345739671	1	0	0	0
LOC_Os03g37830	0	0.388264484	0.331155438	0.011035045	0	0	1
LOC_Os01g36830	0	0.000361001	0.907239553	1	1	0	0
LOC_Os10g41410	0	0.227407422	0.776011747	0.993292629	0	0	0
LOC_Os02g35329	0	0.887467504	0.34147852	0.999900275	0	0	0
LOC_Os02g44000	0	0.007836481	0.973867668	1	1	0	0
LOC_Os09g21470	0	0.942648836	0.181545304	0.03159436	0	0	1
LOC_Os03g29950	0	0.877531876	0.604124989	0.10849298	0	0	0
LOC_Os07g02540	0	0.305166888	0.826249016	0.21752171	0	0	0
LOC_Os02g32060	0	0.949202457	0.478714918	1.06E-13	0	0	1
LOC_Os01g72550	0	0.053958166	0.776369578	0.999699999	1	0	0
LOC_Os05g45830	0	0.999869834	0.075649597	1.87E-08	0	1	1
LOC_Os08g44640	0	0.887326672	0.623022734	0.0002	0	0	1
LOC_Os12g37415	0	0.681909694	0.331769252	0.046856859	0	0	1
LOC_Os02g47970	0	0.994392396	0.040074347	1.52E-10	0	1	1
LOC_Os01g33684	0	0.99173867	0.135816924	3.00E-12	0	0	1
LOC_Os05g23240	0	0.382427714	0.326641491	0.999999998	0	0	0
LOC_Os08g29110	0	0.550702225	0.536535292	1	0	0	0
LOC_Os12g09540	0	0.080498734	0.697199306	0.999999727	1	0	0
LOC_Os03g25370	0	0.002101921	0.900980704	0.999699954	1	0	0
LOC_Os12g37710	0	0.994708906	0.226366073	2.22E-16	0	0	1
LOC_Os05g25194	0	0.506489172	0.336590579	0.301103899	0	0	0
LOC_Os09g29840	0	0.976434822	0.130556307	0.066460496	0	0	1
LOC_Os01g67980	0	0.989543918	0.661751213	0.045994839	0	0	1
LOC_Os03g55850	0	0.994155281	0.075811012	0.061229405	0	1	1
LOC_Os07g31070	0	0.988158108	0.190099254	0.027393802	0	0	1
LOC_Os08g43500	0	0.366754516	0.375735714	0.982125011	0	0	0
LOC_Os03g52460	0	0.919530189	0.788408644	0.000100016	0	0	1
LOC_Os03g04000	0	0.496615082	0.6508517	0.308381784	0	0	0
LOC_Os02g17680	0	0.8261231	0.107733912	0.081777904	0	0	1
LOC_Os05g27730	0	0.765306653	0.452624211	0.987258894	0	0	0
LOC_Os05g46240	0	0.990420922	0.281821209	0.001787959	0	0	1
LOC_Os02g09150	0	0.25180433	0.856992513	0.111086709	0	0	0
LOC_Os01g03760	0	0.994435317	0.055491377	0.002104164	0	1	1
LOC_Os05g18750	0	0.983675304	0.122072579	0.001817145	0	0	1
LOC_Os03g25620	0	0.963509931	0.035092205	2.51E-13	0	1	1
LOC_Os11g05110	1	0.016731767	0.966091854	0.998996182	1	0	0
LOC_Os03g11734	1	0.157822337	0.922988658	0.18268439	0	0	0
LOC_Os06g02019	1	0.217003968	0.611704454	0.9994	0	0	0
LOC_Os01g01610	0	0.99944374	0.171380744	2.22E-16	0	0	1
LOC_Os09g39410	0	0.401915537	0.226293557	0.983502844	0	0	0
LOC_Os04g44800	0	0.968269635	0.104997793	2.66E-16	0	0	1
LOC_Os04g58600	0	0.941577985	0.228126913	0.001210124	0	0	1
LOC_Os02g13560	0	0.01444631	0.927020661	0.997621762	1	0	0
LOC_Os05g38560	0	0.951282662	0.056594736	0.067996358	0	1	1
LOC_Os02g46450	0	0.967975391	0.103301377	0.589181506	0	0	0
LOC_Os05g02990	0	0.966850386	0.058114946	5.78E-11	0	1	1
LOC_Os07g07060	0	0.977125321	0.129635886	0.079760022	0	0	1
LOC_Os09g10960	0	0.999804482	0.015852492	2.22E-16	0	1	1
LOC_Os01g45530	0	0.998764231	0.039518616	2.22E-16	0	1	1
LOC_Os11g12810	0	0.873182259	0.725302949	0.132534517	0	0	0
LOC_Os10g06710	0	0.031177954	0.654091704	0.942433301	1	0	0
LOC_Os09g12350	0	0.121394209	0.579520412	1	0	0	0
LOC_Os03g46740	0	0.705915578	0.625460101	0.010430117	0	0	1
LOC_Os02g01760	0	0.919482623	0.34416586	0.766148063	0	0	0
LOC_Os10g30190	0	0.989959818	0.081941571	0.026554895	0	1	1
LOC_Os11g13850	0	0.995609081	0.455303197	2.65E-16	0	0	1
LOC_Os08g03670	0	0.949075946	0.182719947	0.012237952	0	0	1
LOC_Os02g08500	0	0.914021912	0.330960566	0.090850436	0	0	1
LOC_Os09g18450	0	0.868753827	0.739855515	0.000400002	0	0	1
LOC_Os02g54890	0	0.015565992	0.942008959	0.533030171	1	0	0
LOC_Os10g28610	0	0.935574535	0.152830573	0.011733377	0	0	1
LOC_Os03g22550	0	0.957198578	0.190621195	2.21E-11	0	0	1
LOC_Os06g13060	0	0.913845774	0.222068231	0.003905359	0	0	1
LOC_Os03g07350	0	0.445176694	0.861466988	0.95952029	0	0	0
LOC_Os03g54850	0	0.999789804	0.04771643	2.22E-16	0	1	1
LOC_Os05g34480	0	0.016746456	0.946173143	1	1	0	0
LOC_Os10g21396	0	0.993343723	0.115476923	1.03E-15	0	0	1
LOC_Os05g41010	0	0.998011837	0.17079451	2.22E-16	0	0	1
LOC_Os02g54200	0	0.329088647	0.776260057	0.489595896	0	0	0
LOC_Os07g27490	0	0.933796891	0.117505673	0.283088636	0	0	0
LOC_Os04g50204	0	0.986685406	0.386943333	0.496880439	0	0	0
LOC_Os12g25660	0	0.822804202	0.435039541	0.046167619	0	0	1
LOC_Os03g17174	0	0.948445329	0.234686263	0.001180094	0	0	1
LOC_Os01g23610	0	0.579415383	0.606705209	0.481408045	0	0	0
LOC_Os02g57330	0	0.349065195	0.851972377	0.147613161	0	0	0
LOC_Os02g10310	0	0.695075245	0.795659419	4.20E-14	0	0	1
LOC_Os02g10790	0	0.999968694	0.023553819	2.22E-16	0	1	1
LOC_Os07g12130	0	0.992143897	0.082826383	0.014068235	0	1	1
LOC_Os07g01250	0	0.509011173	0.285524512	0.473197204	0	0	0
LOC_Os05g51090	0	0.858838831	0.451911277	0.629784696	0	0	0
LOC_Os02g25020	0	0.990532128	0.03261475	1.95E-10	0	1	1
LOC_Os02g26014	0	0.987412588	0.122422532	0.040923125	0	0	1
LOC_Os11g38900	0	0.999821616	0.088533135	2.22E-16	0	1	1
LOC_Os07g30640	0	0.981395587	0.115563519	0.065052654	0	0	1
LOC_Os05g45740	0	0.994793326	0.01740397	2.49E-11	0	1	1
LOC_Os01g74360	0	0.267599074	0.570527827	1	0	0	0
LOC_Os01g55940	1	0.99553843	0.18858194	2.22E-16	0	0	1
LOC_Os03g64020	0	0.988358745	0.127888875	0.018248687	0	0	1
LOC_Os05g06060	0	0.982206013	0.037805884	0.023105983	0	1	1
LOC_Os06g21570	1	0.995904827	0.704731157	0.0001	0	0	1
LOC_Os04g43800	0	0.001328563	0.985878305	1	1	0	0
LOC_Os02g08260	0	0.997675093	0.083900588	0.005587204	0	1	1
LOC_Os05g06110	0	0.959714924	0.044970238	0.075602393	0	1	1
LOC_Os09g08030	0	0.954708777	0.192627993	0.032431	0	0	1
LOC_Os01g50960	0	0.577025159	0.285453655	0.975811396	0	0	0
LOC_Os08g32130	0	0.976543	0.142232652	0.96612436	0	0	0
LOC_Os03g11980	0	0.683536045	0.674258335	0.245425037	0	0	0
LOC_Os02g50730	0	0.64299264	0.60755145	0.322310683	0	0	0
LOC_Os03g28120	0	0.919435326	0.117897326	0.398756799	0	0	0
LOC_Os03g01540	0	0.998366067	0.035754352	2.45E-14	0	1	1
LOC_Os03g15870	0	0.745369238	0.652820929	0.884888899	0	0	0
LOC_Os11g15570	0	0.805970571	0.399960717	0.112627048	0	0	0
LOC_Os01g55510	0	0.999085373	0.030458617	6.12E-12	0	1	1
LOC_Os04g38420	0	0.600593728	0.514941742	0.776966059	0	0	0
LOC_Os11g39650	0	0.991616606	0.086303357	0.003087088	0	1	1
LOC_Os02g33030	0	0.353057898	0.699074802	0.9999	0	0	0
LOC_Os09g25070	0	0.065934512	0.691518347	1	1	0	0
LOC_Os05g49220	0	0.754119619	0.151729388	0.010846192	0	0	1
LOC_Os01g04750	1	0.427896995	0.82019871	1	0	0	0
LOC_Os08g16480	0	0.995367321	0.050602581	2.02E-14	0	1	1
LOC_Os05g50550	0	0.97953129	0.200237107	0.000449249	0	0	1
LOC_Os07g38390	0	0.949121694	0.334377627	0.2986304	0	0	0
LOC_Os07g48640	0	0.576605416	0.565576158	0.10755435	0	0	0
