preds_list2[[1]]$genes,1,prob_logit,pred_logit,pred_logit_PR
LOC_Os06g05180,0,0.916971639,1,1
LOC_Os02g45940,0,0.308274036,0,0
LOC_Os06g06880,0,0.716786897,0,0
LOC_Os10g06760,0,2.22e-16,0,0
LOC_Os01g23620,0,0.188344219,0,0
LOC_Os02g39700,0,2.22e-16,0,0
LOC_Os01g43540,0,0.998900146,1,1
LOC_Os01g49529,0,0.489822628,0,0
LOC_Os02g09960,0,0.100942588,0,0
LOC_Os03g08640,0,0.991003004,1,1
LOC_Os10g38920,0,0.390196847,0,0
LOC_Os01g15310,0,0.001286472,0,0
LOC_Os12g38110,0,0.993098026,1,1
LOC_Os10g39120,0,0.688911576,0,0
LOC_Os09g33810,0,0.995784417,1,1
LOC_Os01g61810,0,0.034530431,0,0
LOC_Os06g45350,0,0.002525581,0,0
LOC_Os03g05740,0,2.22e-16,0,0
LOC_Os12g20324,0,0.992335841,1,1
LOC_Os11g40150,0,0.010287267,0,0
LOC_Os11g32900,0,0.0001,0,0
LOC_Os09g36920,0,1.0,1,1
LOC_Os08g41250,0,2.22e-16,0,0
LOC_Os06g46330,0,0.243050887,0,0
LOC_Os03g06670,0,0.388103363,0,0
LOC_Os01g13760,0,0.113088193,0,0
LOC_Os06g09850,0,2.22e-16,0,0
LOC_Os05g51560,0,0.034146282,0,0
LOC_Os07g33110,0,0.032449097,0,0
LOC_Os07g36500,0,0.046727414,0,0
LOC_Os04g52270,0,0.760363265,1,0
LOC_Os05g36960,0,0.274869147,0,0
LOC_Os08g02400,0,0.991447775,1,1
LOC_Os03g03130,0,0.292904577,0,0
LOC_Os04g45040,0,0.711619091,0,0
LOC_Os02g13530,0,0.025020267,0,0
LOC_Os07g29360,0,0.002726314,0,0
LOC_Os08g03640,0,1.0,1,1
LOC_Os03g16130,0,0.897184777,1,1
LOC_Os04g42010,0,0.024339253,0,0
LOC_Os01g71960,0,0.0001,0,0
LOC_Os05g50970,0,0.008095742,0,0
LOC_Os07g44040,0,2.22e-16,0,0
LOC_Os12g03880,0,0.999300348,1,1
LOC_Os01g01960,0,0.001254342,0,0
LOC_Os05g30530,0,0.999899883,1,1
LOC_Os01g01740,0,2.22e-16,0,0
LOC_Os05g04340,0,0.99744792,1,1
LOC_Os03g52650,0,0.026595778,0,0
LOC_Os05g41220,0,2.22e-16,0,0
LOC_Os05g38120,0,0.5304591,0,0
LOC_Os07g38540,0,0.641662881,0,0
LOC_Os01g63940,0,0.9994001,1,1
LOC_Os01g48280,0,0.030713698,0,0
LOC_Os08g38560,0,2.22e-16,0,0
LOC_Os05g32360,0,0.039997968,0,0
LOC_Os05g36290,0,0.873531155,1,1
LOC_Os10g31830,0,0.001000055,0,0
LOC_Os11g05730,0,0.592759654,0,0
LOC_Os06g29120,0,2.22e-16,0,0
LOC_Os01g56550,0,0.014795328,0,0
LOC_Os01g66020,0,0.33097544,0,0
LOC_Os01g45380,0,2.22e-16,0,0
LOC_Os07g42820,0,2.22e-16,0,0
LOC_Os07g36130,0,0.98987495,1,1
LOC_Os03g53080,0,0.098485777,0,0
LOC_Os04g33950,0,0.786077263,1,0
LOC_Os01g69850,0,0.455702567,0,0
LOC_Os02g22140,0,0.050212471,0,0
LOC_Os05g49780,1,0.984869173,1,1
LOC_Os07g32800,0,0.000280405,0,0
LOC_Os03g59050,0,0.992009334,1,1
LOC_Os05g20050,0,0.04429795,0,0
LOC_Os07g07250,0,0.794475048,1,0
LOC_Os03g17980,0,0.274580089,0,0
LOC_Os08g03160,0,0.006002706,0,0
LOC_Os05g03630,0,0.218426417,0,0
LOC_Os10g36710,0,0.131527058,0,0
LOC_Os02g26160,0,0.288456624,0,0
LOC_Os01g64640,0,0.563314984,0,0
LOC_Os07g07240,0,0.751504553,1,0
LOC_Os09g38020,0,0.000401459,0,0
LOC_Os05g07820,0,2.22e-16,0,0
LOC_Os02g30050,0,0.023471577,0,0
LOC_Os09g30190,0,2.22e-16,0,0
LOC_Os02g03610,0,2.22e-16,0,0
LOC_Os02g12794,0,0.636479299,0,0
LOC_Os09g15790,0,0.074824248,0,0
LOC_Os01g14932,0,0.004259076,0,0
LOC_Os02g14000,0,1.0,1,1
LOC_Os01g38950,0,0.009291786,0,0
LOC_Os07g07000,0,0.001655942,0,0
LOC_Os04g04330,0,2.22e-16,0,0
LOC_Os06g02570,0,0.000705426,0,0
LOC_Os06g37440,0,0.057005559,0,0
LOC_Os08g39140,0,0.962850444,1,1
LOC_Os08g43370,0,0.799989708,1,0
LOC_Os10g39410,1,0.002042434,0,0
LOC_Os03g05760,0,0.962424655,1,1
LOC_Os11g38670,0,0.337034287,0,0
LOC_Os03g18570,1,0.998452858,1,1
LOC_Os08g06460,0,0.020066679,0,0
LOC_Os02g57220,0,0.942823022,1,1
LOC_Os06g04290,0,0.238251962,0,0
LOC_Os11g09280,1,0.966385601,1,1
LOC_Os01g62040,0,0.999700536,1,1
LOC_Os02g42134,0,0.028110321,0,0
LOC_Os03g18580,0,0.761962276,1,0
LOC_Os02g38340,0,0.064497464,0,0
LOC_Os03g04970,0,0.224010061,0,0
LOC_Os03g22610,0,0.021806644,0,0
LOC_Os05g27940,0,0.892609807,1,1
LOC_Os02g54700,0,0.028101551,0,0
LOC_Os02g01560,0,0.622882583,0,0
LOC_Os05g06450,0,0.010277466,0,0
LOC_Os07g41750,0,0.906118223,1,1
LOC_Os05g48810,0,0.020279455,0,0
LOC_Os02g02140,0,0.004778094,0,0
LOC_Os02g33140,0,0.465540821,0,0
LOC_Os02g10060,0,0.993886216,1,1
LOC_Os08g22864,0,2.22e-16,0,0
LOC_Os01g12730,0,2.22e-16,0,0
LOC_Os01g48700,0,0.908220005,1,1
LOC_Os12g39630,0,0.347947562,0,0
LOC_Os02g05630,0,0.025379675,0,0
LOC_Os01g62840,0,0.691528503,0,0
LOC_Os03g60600,0,0.986899009,1,1
LOC_Os04g40950,1,0.99959999,1,1
LOC_Os05g41110,0,0.231502937,0,0
LOC_Os07g01820,0,0.003964214,0,0
LOC_Os10g37480,0,2.22e-16,0,0
LOC_Os11g10420,0,0.999801228,1,1
LOC_Os09g36770,0,0.993364273,1,1
LOC_Os04g25550,0,0.128959285,0,0
LOC_Os09g35970,0,0.296798177,0,0
LOC_Os06g43850,1,1.0,1,1
LOC_Os03g05980,0,1.0,1,1
LOC_Os03g55560,0,2.22e-16,0,0
LOC_Os05g01910,0,5.41e-14,0,0
LOC_Os02g34940,0,0.982601825,1,1
LOC_Os11g26910,0,0.00945656,0,0
LOC_Os11g06750,0,1.0,1,1
LOC_Os03g46190,0,0.361780098,0,0
LOC_Os09g29820,0,2.22e-16,0,0
LOC_Os02g57590,0,0.068548799,0,0
LOC_Os06g41750,0,0.995667254,1,1
LOC_Os08g33100,0,0.999699914,1,1
LOC_Os07g41800,0,0.000183934,0,0
LOC_Os11g11390,0,1.0,1,1
LOC_Os09g17970,0,0.951745973,1,1
LOC_Os01g74146,0,0.144359833,0,0
LOC_Os09g31486,0,0.986244956,1,1
LOC_Os06g03682,0,1.0,1,1
LOC_Os01g61030,0,0.984587838,1,1
LOC_Os05g38740,0,0.058466954,0,0
LOC_Os05g39090,0,0.100350843,0,0
LOC_Os02g28810,0,1.0,1,1
LOC_Os07g47710,0,0.999114111,1,1
LOC_Os09g02810,0,0.001645083,0,0
LOC_Os04g56450,0,0.858628569,1,1
LOC_Os03g54900,0,0.192998142,0,0
LOC_Os12g43600,0,1.0,1,1
LOC_Os10g34670,0,0.001097474,0,0
LOC_Os02g02040,0,0.742977905,1,0
LOC_Os04g45920,0,0.984974977,1,1
LOC_Os10g35990,0,0.005065542,0,0
LOC_Os12g06200,0,0.0001,0,0
LOC_Os05g27320,0,1.0,1,1
LOC_Os06g07200,0,0.20798879,0,0
LOC_Os12g25120,0,0.979198843,1,1
LOC_Os05g07700,0,1.0,1,1
LOC_Os05g40820,0,0.202793424,0,0
LOC_Os07g44290,0,0.200320807,0,0
LOC_Os05g16630,0,0.106242312,0,0
LOC_Os02g18550,0,0.998743024,1,1
LOC_Os01g68870,0,2.22e-16,0,0
LOC_Os01g16890,0,0.250777361,0,0
LOC_Os10g31900,0,0.35977326,0,0
LOC_Os07g06740,0,0.684706867,0,0
LOC_Os06g07630,0,0.982117575,1,1
LOC_Os04g31190,0,0.018089662,0,0
LOC_Os01g25610,0,0.960362302,1,1
LOC_Os02g27760,0,0.9999,1,1
LOC_Os08g05890,0,0.006559363,0,0
LOC_Os12g44330,0,0.391979854,0,0
LOC_Os01g51220,0,0.998696261,1,1
LOC_Os11g38959,1,0.99859803,1,1
