gene,status,prob_rf,prob_logit_Ada,pred_rf,pred_logit_PR,SUM_PR
LOC_Os08g12750,0,0.546245,2.22E-16,0,0,0
LOC_Os11g04070,0,0.598532,1,0,1,1
LOC_Os10g23100,0,0.470112,2.22E-16,0,0,0
LOC_Os07g10250,0,0.567411,0.813662607,0,0,0
LOC_Os02g03060,0,0.555922,0.304199333,0,0,0
LOC_Os04g56070,0,0.515051,2.22E-16,0,0,0
LOC_Os06g46600,0,0.507913,1,0,1,1
LOC_Os02g34600,0,0.555638,0.921193227,0,1,1
LOC_Os01g64630,0,0.485725,0.990294818,0,1,1
LOC_Os01g24060,0,0.542552,0.014616963,0,0,0
LOC_Os02g20394,0,0.494676,0.223709478,0,0,0
LOC_Os06g22650,0,0.442159,0.129913582,0,0,0
LOC_Os05g08360,0,0.491541,0.996625712,0,1,1
LOC_Os03g10940,0,0.52533,0.962909052,0,1,1
LOC_Os02g11830,0,0.571244,0.941801399,0,1,1
LOC_Os08g04290,0,0.429793,0.065524045,0,0,0
LOC_Os03g55150,0,0.468194,0.154937464,0,0,0
LOC_Os01g53920,0,0.651663,2.22E-16,0,0,0
LOC_Os03g43020,0,0.516376,0.989649531,0,1,1
LOC_Os02g07960,0,0.53477,0.764563532,0,0,0
LOC_Os03g10340,0,0.497718,0.998585227,0,1,1
LOC_Os01g52490,0,0.451184,0.006669477,0,0,0
LOC_Os12g21798,0,0.47245,1,0,1,1
LOC_Os02g03340,0,0.493172,0.138701095,0,0,0
LOC_Os02g37420,0,0.483617,0.01246707,0,0,0
LOC_Os02g34510,0,0.516321,0.032078582,0,0,0
LOC_Os08g02410,0,0.43457,0.057185275,0,0,0
LOC_Os05g39050,0,0.591285,0.688506088,0,0,0
LOC_Os02g40860,0,0.501686,0.40384517,0,0,0
LOC_Os08g03240,0,0.512431,0.997988205,0,1,1
LOC_Os02g49980,0,0.510564,0.004844633,0,0,0
LOC_Os01g59990,0,0.502502,0.499171356,0,0,0
LOC_Os03g43890,0,0.499008,0.014540478,0,0,0
LOC_Os06g06460,0,0.52983,0.208454616,0,0,0
LOC_Os01g14860,0,0.513194,0.674775143,0,0,0
LOC_Os02g03600,0,0.507412,0.267366367,0,0,0
LOC_Os04g46390,0,0.515076,2.22E-16,0,0,0
LOC_Os02g33430,0,0.482869,0.396786754,0,0,0
LOC_Os02g45940,0,0.518262,0.308274036,0,0,0
